2020-06-17,2020-06-17,AFK,6.4300,7.4600,4.0400,3.9400,2.9500,6.1000,7.7700,6.9700,60.0000,60.5000,58.2000,56.4000,57.7000,50.0000,48.5000,52.9000,50.5000,54.1353,53.4000,66.4000,65.5000,100.0000,71.3000,29.2000,60.6000,44.9000,28.1000,39.9000,91.3000,53.1000,B
2020-06-17,2020-06-17,AFTY,5.2100,3.3000,3.7800,3.8800,5.5800,5.9900,6.2000,3.5600,41.4000,46.4000,31.5000,33.8000,35.6000,0.0000,62.6000,28.1000,28.6000,32.1216,50.0000,50.0000,50.0000,55.0000,51.2000,30.8000,61.2000,46.0000,30.2000,50.3000,23.0000,34.5000,D
2020-06-17,2020-06-17,AGF,8.3200,4.0300,9.9800,5.0000,6.3300,5.0000,6.3000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGG,2.1300,3.6400,1.8300,5.0000,3.0300,5.0000,1.8000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGGE,2.6200,4.2400,0.2200,5.0000,3.8600,5.0000,3.8700,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGGP,3.2800,5.5400,0.2300,5.0000,3.8600,5.0000,4.2700,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGGY,2.2800,3.9400,0.9100,5.0000,3.2700,5.0000,2.9300,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGND,3.4900,6.2700,0.9800,5.0000,3.2700,5.0000,3.6800,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGQ,7.6500,3.9100,8.1500,5.0000,4.7300,5.0000,9.2200,0.0000,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,2020-06-17,AGT,6.2400,6.9300,6.4000,1.9800,3.0100,5.7600,5.5800,5.9600,56.8000,52.0000,58.9000,71.6000,63.9000,50.0000,50.0000,75.3000,58.9000,61.3635,50.0000,50.0000,50.0000,56.2000,51.6000,29.3000,80.2000,54.8000,34.8000,49.3000,99.0000,61.0000,B
2020-06-17,2020-06-17,AGZ,1.7800,3.4100,1.2100,5.0000,3.0300,5.0000,1.8400,0.0000,,,,,,,,,,,,,,,,,,,,,,,
